ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000123500.10,6744.486036,8.123728954,0.326839076,1.11e-137,4.3599999999999995e-133,COL10A1,8.123728954,ENSG00000123500
ENSG00000099953.10,17464.50209,6.794439156,0.28217283,2.6599999999999996e-129,5.23e-125,MMP11,6.794439156,ENSG00000099953
ENSG00000060718.22,9946.928423,7.12241505,0.350410335,5.47e-93,7.16e-89,COL11A1,7.12241505,ENSG00000060718
ENSG00000230838.1,207.5415322,6.398322639,0.375363486,6.529999999999999e-66,2.57e-62,LINC01614,6.398322639,ENSG00000230838
ENSG00000117650.13,872.3315903,4.498950726,0.284130349,1.33e-57,3.28e-54,NEK2,4.498950726,ENSG00000117650
ENSG00000187730.9,140.9181501,3.962257145,0.255557039,2.1899999999999997e-55,4.7699999999999996e-52,GABRD,3.962257145,ENSG00000187730
ENSG00000143228.13,559.3763901,3.858213378,0.261032421,1.52e-50,2.3e-47,NUF2,3.858213378,ENSG00000143228
ENSG00000090889.12,804.563709,3.813051344,0.259285577,4.57e-50,6.2e-47,KIF4A,3.813051344,ENSG00000090889
ENSG00000137745.12,1293.0445,7.312682274,0.503100166,6.52e-49,7.319999999999999e-46,MMP13,7.312682274,ENSG00000137745
ENSG00000261327.5,54.63312542,4.196867323,0.289486585,8.06e-49,8.79e-46,AC134312.5,4.196867323,ENSG00000261327
ENSG00000164087.8,462.4118028,2.143732113,0.148065584,1.65e-48,1.7e-45,POC1A,2.143732113,ENSG00000164087
ENSG00000083782.8,226.235605,7.673388144,0.532173514,4.7899999999999994e-48,4.59e-45,EPYC,7.673388144,ENSG00000083782
ENSG00000123975.5,1048.360281,2.573545632,0.180386159,4.459999999999999e-47,3.73e-44,CKS2,2.573545632,ENSG00000123975
ENSG00000029559.7,139.2803514,7.834794948,0.550968271,1.99e-46,1.5599999999999999e-43,IBSP,7.834794948,ENSG00000029559
ENSG00000152253.9,265.8268168,2.842427635,0.201616573,4.18e-46,3.16e-43,SPC25,2.842427635,ENSG00000152253
ENSG00000155886.11,235.0648146,5.624587711,0.406381556,1.03e-44,7.379999999999999e-42,SLC24A2,5.624587711,ENSG00000155886
ENSG00000165474.8,1686.442804,4.765036851,0.34846955,9.68e-44,6.34e-41,GJB2,4.765036851,ENSG00000165474
ENSG00000160161.9,602.8007581,3.659746961,0.268724299,2.19e-43,1.4099999999999999e-40,CILP2,3.659746961,ENSG00000160161
ENSG00000088325.16,2237.348238,3.344043521,0.245906386,3.09e-43,1.96e-40,TPX2,3.344043521,ENSG00000088325
ENSG00000161800.13,1809.229515,1.986224686,0.145496659,3.77e-43,2.35e-40,RACGAP1,1.986224686,ENSG00000161800
ENSG00000175063.17,1125.698113,4.132264761,0.307505165,2.5199999999999998e-42,1.45e-39,UBE2C,4.132264761,ENSG00000175063
ENSG00000183856.11,1126.429893,3.531100027,0.264594589,9.989999999999999e-42,5.3e-39,IQGAP3,3.531100027,ENSG00000183856
ENSG00000261039.3,117.1965661,3.963332423,0.297410793,1.7e-41,8.57e-39,LINC02544,3.963332423,ENSG00000261039
ENSG00000122952.17,1489.99915,2.729807653,0.205758426,4.18e-41,2.0199999999999998e-38,ZWINT,2.729807653,ENSG00000122952
ENSG00000101003.10,705.5978744,2.517421148,0.190654073,8.46e-41,3.86e-38,GINS1,2.517421148,ENSG00000101003
ENSG00000105011.9,932.3286561,3.057040837,0.231679078,8.92e-41,4.03e-38,ASF1B,3.057040837,ENSG00000105011
ENSG00000111602.12,2223.38465,1.667428928,0.126077361,1e-40,4.4799999999999997e-38,TIMELESS,1.667428928,ENSG00000111602
ENSG00000170312.16,1484.748603,3.072369351,0.233872781,1.4999999999999999e-40,6.46e-38,CDK1,3.072369351,ENSG00000170312
ENSG00000134057.15,1703.914661,2.53760888,0.192855601,1.7099999999999998e-40,7.23e-38,CCNB1,2.53760888,ENSG00000134057
ENSG00000143476.18,1152.75286,3.149778924,0.240440344,2.66e-40,1.0799999999999998e-37,DTL,3.149778924,ENSG00000143476
ENSG00000161888.11,333.6304927,2.961637372,0.226255345,3.31e-40,1.3099999999999999e-37,SPC24,2.961637372,ENSG00000161888
ENSG00000025423.11,196.443977,3.323925662,0.256339652,1.58e-39,6.009999999999999e-37,HSD17B6,3.323925662,ENSG00000025423
ENSG00000117122.14,1067.942249,2.529484114,0.194624433,1.65e-39,6.23e-37,MFAP2,2.529484114,ENSG00000117122
ENSG00000105664.11,6078.012206,5.367842315,0.415073856,1.85e-39,6.9199999999999995e-37,COMP,5.367842315,ENSG00000105664
ENSG00000077152.11,759.8436388,3.040394779,0.235619883,3.35e-39,1.22e-36,UBE2T,3.040394779,ENSG00000077152
ENSG00000117724.13,3279.980788,3.098174573,0.240224865,3.98e-39,1.43e-36,CENPF,3.098174573,ENSG00000117724
ENSG00000122641.11,3268.887604,3.675472305,0.28585225,5.57e-39,1.97e-36,INHBA,3.675472305,ENSG00000122641
ENSG00000243742.5,161.8979212,2.882388446,0.224736238,1.18e-38,4.1e-36,RPLP0P2,2.882388446,ENSG00000243742
ENSG00000146670.10,895.1219974,2.989565536,0.234151948,2.39e-38,8.16e-36,CDCA5,2.989565536,ENSG00000146670
ENSG00000029993.15,3195.728045,2.570237922,0.202056699,5.32e-38,1.76e-35,HMGB3,2.570237922,ENSG00000029993
ENSG00000169258.7,343.8239824,2.984051251,0.23596157,1.0399999999999998e-37,3.3299999999999997e-35,GPRIN1,2.984051251,ENSG00000169258
ENSG00000138180.16,711.1022813,3.311986756,0.264136712,3.829999999999999e-37,1.1599999999999999e-34,CEP55,3.311986756,ENSG00000138180
ENSG00000183682.8,500.6860347,3.031494761,0.242428008,5.589999999999999e-37,1.68e-34,BMP8A,3.031494761,ENSG00000183682
ENSG00000113648.16,8826.217983,1.119843137,0.089299684,6.4e-37,1.8899999999999998e-34,MACROH2A1,1.119843137,ENSG00000113648
ENSG00000154839.10,267.9151595,3.327241561,0.266322853,6.7999999999999995e-37,1.98e-34,SKA1,3.327241561,ENSG00000154839
ENSG00000104415.14,1170.786667,3.533712025,0.283214994,8.049999999999999e-37,2.31e-34,CCN4,3.533712025,ENSG00000104415
ENSG00000232679.2,30.29478135,6.362438665,0.512060983,1.2e-36,3.3299999999999997e-34,LINC01705,6.362438665,ENSG00000232679
ENSG00000206053.13,10293.99081,1.526419669,0.120802178,1.35e-36,3.6899999999999996e-34,JPT2,1.526419669,ENSG00000206053
ENSG00000133466.14,1655.306275,2.499808926,0.200626345,1.64e-36,4.41e-34,C1QTNF6,2.499808926,ENSG00000133466
ENSG00000163348.4,4682.627498,1.141050039,0.091097966,1.94e-36,5.14e-34,PYGO2,1.141050039,ENSG00000163348
ENSG00000166851.15,710.1436745,3.245319037,0.261928933,2.5500000000000002e-36,6.67e-34,PLK1,3.245319037,ENSG00000166851
ENSG00000164611.13,658.3748759,2.9312679,0.236988112,3.38e-36,8.73e-34,PTTG1,2.9312679,ENSG00000164611
ENSG00000011426.11,1550.310041,3.476956311,0.282510866,6.17e-36,1.52e-33,ANLN,3.476956311,ENSG00000011426
ENSG00000169607.13,369.5133341,3.39798669,0.276107162,6.83e-36,1.68e-33,CKAP2L,3.39798669,ENSG00000169607
ENSG00000076382.17,1148.106983,2.986701695,0.243529669,1.31e-35,3.13e-33,SPAG5,2.986701695,ENSG00000076382
ENSG00000111206.13,1119.788292,3.327444326,0.271679057,1.42e-35,3.34e-33,FOXM1,3.327444326,ENSG00000111206
ENSG00000101115.13,141.6070122,3.315502639,0.27072519,1.49e-35,3.48e-33,SALL4,3.315502639,ENSG00000101115
ENSG00000135451.13,402.9219774,3.554865255,0.290561627,1.61e-35,3.73e-33,TROAP,3.554865255,ENSG00000135451
ENSG00000165304.8,633.9033823,3.483754657,0.284925867,1.69e-35,3.87e-33,MELK,3.483754657,ENSG00000165304
ENSG00000102100.16,2234.187911,1.307208913,0.105995133,1.7399999999999997e-35,3.97e-33,SLC35A2,1.307208913,ENSG00000102100
ENSG00000174871.11,150.0841317,3.210764642,0.263923097,4.15e-35,9.1e-33,CNIH2,3.210764642,ENSG00000174871
ENSG00000165209.19,3142.682383,1.360045882,0.110661462,4.2499999999999995e-35,9.28e-33,STRBP,1.360045882,ENSG00000165209
ENSG00000237649.8,1153.203769,3.119384776,0.256583642,4.35e-35,9.450000000000001e-33,KIFC1,3.119384776,ENSG00000237649
ENSG00000186871.7,235.4899833,2.7975742,0.229966581,4.7499999999999996e-35,1.03e-32,ERCC6L,2.7975742,ENSG00000186871
ENSG00000177732.8,2356.586598,2.182279979,0.179607538,8.75e-35,1.85e-32,SOX12,2.182279979,ENSG00000177732
ENSG00000127423.11,154.5825109,2.160803277,0.178268609,9.99e-35,2.1e-32,AUNIP,2.160803277,ENSG00000127423
ENSG00000137807.16,952.5759845,2.63452946,0.217750306,1.03e-34,2.15e-32,KIF23,2.63452946,ENSG00000137807
ENSG00000127564.17,471.9491197,3.83532865,0.317800688,1.15e-34,2.36e-32,PKMYT1,3.83532865,ENSG00000127564
ENSG00000123485.12,495.9575815,3.419101366,0.283166047,1.18e-34,2.41e-32,HJURP,3.419101366,ENSG00000123485
ENSG00000162073.14,656.2620514,2.675295436,0.22148576,1.4499999999999999e-34,2.93e-32,PAQR4,2.675295436,ENSG00000162073
ENSG00000162062.15,256.2829255,2.90300684,0.240990832,1.8199999999999999e-34,3.63e-32,TEDC2,2.90300684,ENSG00000162062
ENSG00000134690.11,682.3949158,2.847131668,0.236378778,1.86e-34,3.6899999999999996e-32,CDCA8,2.847131668,ENSG00000134690
ENSG00000165480.16,363.7851583,3.116909623,0.259104046,2.16e-34,4.26e-32,SKA3,3.116909623,ENSG00000165480
ENSG00000162769.13,1192.669658,1.711238541,0.1420104,4.23e-34,8.069999999999999e-32,FLVCR1,1.711238541,ENSG00000162769
ENSG00000183155.5,1276.810169,1.59915212,0.132826318,4.71e-34,8.9e-32,RABIF,1.59915212,ENSG00000183155
ENSG00000162849.16,1682.853856,3.46955543,0.290686374,5.359999999999999e-34,9.999999999999999e-32,KIF26B,3.46955543,ENSG00000162849
ENSG00000051180.17,340.5840822,2.485232478,0.207660198,5.899999999999999e-34,1.0999999999999998e-31,RAD51,2.485232478,ENSG00000051180
ENSG00000087586.18,850.8586278,2.991433936,0.250414709,6.4e-34,1.1799999999999999e-31,AURKA,2.991433936,ENSG00000087586
ENSG00000176058.13,1786.962455,2.405250149,0.202945704,2.6e-33,4.5299999999999995e-31,TPRN,2.405250149,ENSG00000176058
ENSG00000196611.5,591.8509442,5.829517941,0.49447738,2.6500000000000002e-33,4.61e-31,MMP1,5.829517941,ENSG00000196611
ENSG00000112984.12,956.0807315,3.426247771,0.290052434,2.67e-33,4.619999999999999e-31,KIF20A,3.426247771,ENSG00000112984
ENSG00000107731.12,3633.151861,2.330599544,0.196635839,2.8100000000000002e-33,4.82e-31,UNC5B,2.330599544,ENSG00000107731
ENSG00000172061.9,5486.715151,4.1162061660000004,0.349474899,3.17e-33,5.419999999999999e-31,LRRC15,4.1162061660000004,ENSG00000172061
ENSG00000163545.11,422.9642867,2.388576811,0.202189757,3.97e-33,6.669999999999999e-31,NUAK2,2.388576811,ENSG00000163545
ENSG00000142945.13,707.5571937,3.106196094,0.263557054,4.2300000000000004e-33,7.069999999999999e-31,KIF2C,3.106196094,ENSG00000142945
ENSG00000164283.13,567.2559123,3.928298525,0.334167983,4.74e-33,7.829999999999999e-31,ESM1,3.928298525,ENSG00000164283
ENSG00000100526.20,331.9983105,2.743972678,0.233143617,4.9100000000000005e-33,8.08e-31,CDKN3,2.743972678,ENSG00000100526
ENSG00000146410.12,141.3986652,2.801817405,0.238874659,8.9100000000000007e-33,1.4299999999999999e-30,MTFR2,2.801817405,ENSG00000146410
ENSG00000129810.15,137.3403169,3.150416776,0.268733124,9.17e-33,1.4599999999999999e-30,SGO1,3.150416776,ENSG00000129810
ENSG00000172156.4,56.12707449,4.662640794,0.397798647,1.1499999999999999e-32,1.7999999999999998e-30,CCL11,4.662640794,ENSG00000172156
ENSG00000080986.13,494.8883089,3.010458545,0.257841792,1.4799999999999998e-32,2.3099999999999998e-30,NDC80,3.010458545,ENSG00000080986
ENSG00000138160.7,1259.210537,2.316197743,0.198075608,1.5499999999999998e-32,2.4e-30,KIF11,2.316197743,ENSG00000138160
ENSG00000261742.6,40.26580444,5.133862274,0.440912767,1.89e-32,2.9099999999999998e-30,LINC00922,5.133862274,ENSG00000261742
ENSG00000116128.11,2877.994206,1.504736218,0.127730133,2.69e-32,4.0699999999999995e-30,BCL9,1.504736218,ENSG00000116128
ENSG00000158402.20,180.9673776,3.227260826,0.277747806,3.0199999999999997e-32,4.51e-30,CDC25C,3.227260826,ENSG00000158402
ENSG00000143367.16,2673.448857,1.588424746,0.135286527,3.39e-32,5.01e-30,TUFT1,1.588424746,ENSG00000143367
ENSG00000160753.16,2707.706758,1.633073264,0.14041254,4.66e-32,6.749999999999999e-30,RUSC1,1.633073264,ENSG00000160753
ENSG00000131747.15,6004.064923,3.8204846,0.33093634,6.07e-32,8.68e-30,TOP2A,3.8204846,ENSG00000131747
ENSG00000169679.15,897.1297933,3.255204912,0.282590853,8.59e-32,1.2100000000000001e-29,BUB1,3.255204912,ENSG00000169679
ENSG00000182481.10,6538.085522,2.357408363,0.204464176,1.1999999999999998e-31,1.6800000000000001e-29,KPNA2,2.357408363,ENSG00000182481
ENSG00000203805.11,347.0504887,4.894173516,0.426800785,1.29e-31,1.8000000000000002e-29,PLPP4,4.894173516,ENSG00000203805
ENSG00000276043.5,798.7359427,3.308930106,0.289045458,1.9199999999999999e-31,2.61e-29,UHRF1,3.308930106,ENSG00000276043
ENSG00000079462.8,1592.961082,2.524064994,0.220023561,2.0599999999999997e-31,2.78e-29,PAFAH1B3,2.524064994,ENSG00000079462
ENSG00000101447.15,475.8718274,3.002257858,0.262583955,2.49e-31,3.31e-29,FAM83D,3.002257858,ENSG00000101447
ENSG00000214796.8,154.3764934,2.753288796,0.240928852,2.91e-31,3.87e-29,TUBA5P,2.753288796,ENSG00000214796
ENSG00000213186.8,497.275766,2.143615824,0.188228877,6.97e-31,9.07e-29,TRIM59,2.143615824,ENSG00000213186
ENSG00000126787.13,550.1602326,3.189823789,0.281815025,9.2e-31,1.19e-28,DLGAP5,3.189823789,ENSG00000126787
ENSG00000106462.11,888.659757,2.130449786,0.188635353,1.9099999999999997e-30,2.34e-28,EZH2,2.130449786,ENSG00000106462
ENSG00000118193.12,384.4319925,3.483417049,0.310225659,2.34e-30,2.82e-28,KIF14,3.483417049,ENSG00000118193
ENSG00000111665.12,411.1307431,2.913336989,0.259413889,2.6699999999999997e-30,3.19e-28,CDCA3,2.913336989,ENSG00000111665
ENSG00000114346.14,2203.55009,1.946190072,0.172961042,3.18e-30,3.7799999999999998e-28,ECT2,1.946190072,ENSG00000114346
ENSG00000174371.17,509.405294,3.444651242,0.30809916,3.93e-30,4.6e-28,EXO1,3.444651242,ENSG00000174371
ENSG00000171302.17,6625.977462,1.373077894,0.121822092,4.29e-30,5e-28,CANT1,1.373077894,ENSG00000171302
ENSG00000203740.4,15.74697015,6.066178493,0.571202672,4.68e-30,5.43e-28,METTL11B,6.066178493,ENSG00000203740
ENSG00000186638.16,409.0253762,1.685207665,0.150326026,6.13e-30,7.04e-28,KIF24,1.685207665,ENSG00000186638
ENSG00000234996.4,33.984585,2.658257494,0.239424893,9.95e-30,1.11e-27,ACTG1P25,2.658257494,ENSG00000234996
ENSG00000108106.14,705.767023,2.300333116,0.206702691,1.1400000000000001e-29,1.2600000000000001e-27,UBE2S,2.300333116,ENSG00000108106
ENSG00000117399.14,1187.249094,3.354155131,0.30244276,1.1700000000000001e-29,1.2900000000000002e-27,CDC20,3.354155131,ENSG00000117399
ENSG00000170965.10,49.14799731,4.991140377,0.451822664,1.31e-29,1.43e-27,PLAC1,4.991140377,ENSG00000170965
ENSG00000157456.8,724.0992956,2.763769835,0.249212163,1.32e-29,1.4400000000000001e-27,CCNB2,2.763769835,ENSG00000157456
ENSG00000113368.12,2322.288071,2.48116563,0.223855179,1.61e-29,1.75e-27,LMNB1,2.48116563,ENSG00000113368
ENSG00000168496.4,1706.211523,1.778083848,0.159934672,1.7400000000000001e-29,1.8700000000000003e-27,FEN1,1.778083848,ENSG00000168496
ENSG00000175643.10,679.5501487,2.822997592,0.255537395,2.1200000000000002e-29,2.2700000000000002e-27,RMI2,2.822997592,ENSG00000175643
ENSG00000168078.10,416.2845836,3.269270968,0.296295588,2.2300000000000002e-29,2.3800000000000002e-27,PBK,3.269270968,ENSG00000168078
ENSG00000154920.15,136.1010669,2.679660539,0.242612548,2.3700000000000002e-29,2.5100000000000004e-27,EME1,2.679660539,ENSG00000154920
ENSG00000066279.18,851.2665463,3.249943758,0.294869776,2.4400000000000002e-29,2.57e-27,ASPM,3.249943758,ENSG00000066279
ENSG00000164032.12,5367.550731,1.323335612,0.117726069,2.56e-29,2.68e-27,H2AZ1,1.323335612,ENSG00000164032
ENSG00000188368.10,100.5457249,1.931417105,0.174843487,3.05e-29,3.1700000000000002e-27,PRR19,1.931417105,ENSG00000188368
ENSG00000154370.16,1395.879603,1.567866888,0.142217666,5.42e-29,5.550000000000001e-27,TRIM11,1.567866888,ENSG00000154370
ENSG00000115163.15,194.5486499,2.886294673,0.263894838,7.03e-29,7.11e-27,CENPA,2.886294673,ENSG00000115163
ENSG00000103495.14,761.2911543,1.379563016,0.125160119,7.05e-29,7.12e-27,MAZ,1.379563016,ENSG00000103495
ENSG00000100625.9,1002.108282,1.353234089,0.190921713,7.680000000000001e-29,7.72e-27,SIX4,1.353234089,ENSG00000100625
ENSG00000121152.10,624.8648653,2.791900437,0.255980102,9.77e-29,9.740000000000001e-27,NCAPH,2.791900437,ENSG00000121152
ENSG00000198826.11,514.5919315,2.127775432,0.194518592,1.06e-28,1.05e-26,ARHGAP11A,2.127775432,ENSG00000198826
ENSG00000141582.15,2437.153049,2.003187145,0.183077214,1.1999999999999999e-28,1.1800000000000001e-26,CBX4,2.003187145,ENSG00000141582
ENSG00000160688.19,2660.865987,1.253176095,0.114023702,1.3e-28,1.27e-26,FLAD1,1.253176095,ENSG00000160688
ENSG00000075218.19,324.7882681,2.524649517,0.232349344,1.7299999999999999e-28,1.6700000000000002e-26,GTSE1,2.524649517,ENSG00000075218
ENSG00000071539.14,616.5199036,2.313489714,0.212877163,1.92e-28,1.84e-26,TRIP13,2.313489714,ENSG00000071539
ENSG00000169241.19,3497.873486,1.826906278,0.167410639,1.9299999999999999e-28,1.8500000000000002e-26,SLC50A1,1.826906278,ENSG00000169241
ENSG00000131650.14,109.9340982,4.472027608,0.414663616,2.55e-28,2.43e-26,KREMEN2,4.472027608,ENSG00000131650
ENSG00000160606.11,473.1470951,2.627759986,0.242964319,3.26e-28,3.07e-26,TLCD1,2.627759986,ENSG00000160606
ENSG00000164109.14,823.514012,1.946541485,0.17955362,3.3299999999999998e-28,3.1300000000000003e-26,MAD2L1,1.946541485,ENSG00000164109
ENSG00000115414.21,201251.6933,3.611382769,0.305094322,4.5e-28,4.2e-26,FN1,3.611382769,ENSG00000115414
ENSG00000129654.8,424.7679007,5.65640575,0.527587591,4.56e-28,4.25e-26,FOXJ1,5.65640575,ENSG00000129654
ENSG00000143761.16,30198.4273,1.071432457,0.099024758,5.11e-28,4.7100000000000004e-26,ARF1,1.071432457,ENSG00000143761
ENSG00000013588.9,13556.07475,2.662261361,0.24704021,5.27e-28,4.85e-26,GPRC5A,2.662261361,ENSG00000013588
ENSG00000124493.14,174.5389133,4.839248549,0.451707001,5.5e-28,5.05e-26,GRM4,4.839248549,ENSG00000124493
ENSG00000171241.9,441.8669749,2.553921485,0.238109328,8.28e-28,7.53e-26,SHCBP1,2.553921485,ENSG00000171241
ENSG00000166803.14,200.7566563,2.974278619,0.277756665,8.669999999999999e-28,7.860000000000001e-26,PCLAF,2.974278619,ENSG00000166803
ENSG00000101412.13,755.5086681,2.469146304,0.230657945,9.22e-28,8.33e-26,E2F1,2.469146304,ENSG00000101412
ENSG00000175305.17,258.3600736,2.520770529,0.235316996,9.87e-28,8.9e-26,CCNE2,2.520770529,ENSG00000175305
ENSG00000102384.13,194.905471,1.878990744,0.175188889,1.14e-27,1.02e-25,CENPI,1.878990744,ENSG00000102384
ENSG00000099812.9,1763.489845,4.025061371,0.378062873,1.2400000000000001e-27,1.1e-25,MISP,4.025061371,ENSG00000099812
ENSG00000094804.12,2259.664662,4.232784101,0.397717475,1.2600000000000001e-27,1.12e-25,CDC6,4.232784101,ENSG00000094804
ENSG00000178531.6,762.1289223,2.762334909,0.258835179,1.3100000000000002e-27,1.16e-25,CTXN1,2.762334909,ENSG00000178531
ENSG00000121621.7,303.8002498,2.339510401,0.219116737,1.59e-27,1.39e-25,KIF18A,2.339510401,ENSG00000121621
ENSG00000138778.13,618.8925542,2.336135052,0.219134768,1.8700000000000003e-27,1.63e-25,CENPE,2.336135052,ENSG00000138778
ENSG00000137216.19,3459.734676,1.370677503,0.127809577,2.1900000000000003e-27,1.89e-25,TMEM63B,1.370677503,ENSG00000137216
ENSG00000235123.5,512.1386709,8.931939102,0.846448866,2.5200000000000003e-27,2.16e-25,DSCAM-AS1,8.931939102,ENSG00000235123
ENSG00000164932.13,3920.13426,2.711264593,0.255585944,2.9400000000000004e-27,2.5e-25,CTHRC1,2.711264593,ENSG00000164932
ENSG00000237423.3,67.32605956,6.257744952,0.466728064,3.4900000000000006e-27,2.93e-25,LINC01522,6.257744952,ENSG00000237423
ENSG00000138316.11,281.9979961,3.486927475,0.330301956,3.59e-27,3.0099999999999997e-25,ADAMTS14,3.486927475,ENSG00000138316
ENSG00000163535.18,552.9834403,1.508868598,0.142222476,4.5400000000000005e-27,3.76e-25,SGO2,1.508868598,ENSG00000163535
ENSG00000170373.8,680.0984497,7.612882052,0.724534284,4.7900000000000005e-27,3.94e-25,CST1,7.612882052,ENSG00000170373
ENSG00000103253.19,295.5007097,3.062737259,0.291103039,5.81e-27,4.75e-25,HAGHL,3.062737259,ENSG00000103253
ENSG00000163468.15,18361.88742,1.211168522,0.112781943,7.190000000000001e-27,5.8e-25,CCT3,1.211168522,ENSG00000163468
ENSG00000092853.14,383.7038531,2.710979523,0.257957722,8.11e-27,6.5e-25,CLSPN,2.710979523,ENSG00000092853
ENSG00000176092.16,106.8110821,3.289168074,0.313558176,8.130000000000001e-27,6.51e-25,CRYBG2,3.289168074,ENSG00000176092
ENSG00000165891.16,201.2955489,2.855230229,0.271987021,8.51e-27,6.79e-25,E2F7,2.855230229,ENSG00000165891
ENSG00000224272.2,92.91280169,5.327231889,0.510315927,9.45e-27,7.5e-25,AC131097.2,5.327231889,ENSG00000224272
ENSG00000167977.9,2084.438465,1.280317079,0.121183623,1.38e-26,1.0799999999999999e-24,KCTD5,1.280317079,ENSG00000167977
ENSG00000179546.4,50.77244316,4.087326636,0.392039489,1.44e-26,1.13e-24,HTR1D,4.087326636,ENSG00000179546
ENSG00000103888.17,735.9886826,3.020255635,0.289403833,1.4600000000000002e-26,1.1399999999999999e-24,CEMIP,3.020255635,ENSG00000103888
ENSG00000137812.20,486.8656973,2.694986349,0.258182372,1.58e-26,1.2199999999999999e-24,KNL1,2.694986349,ENSG00000137812
ENSG00000161980.6,1153.840404,1.618842389,0.153813893,1.59e-26,1.23e-24,POLR3K,1.618842389,ENSG00000161980
ENSG00000158850.15,3120.627485,1.243304063,0.117924181,1.99e-26,1.5299999999999999e-24,B4GALT3,1.243304063,ENSG00000158850
ENSG00000140525.19,1608.250544,2.011626932,0.192590357,2.0600000000000002e-26,1.58e-24,FANCI,2.011626932,ENSG00000140525
ENSG00000115718.18,36.15624292,2.856948512,0.275030166,2.4700000000000002e-26,1.88e-24,PROC,2.856948512,ENSG00000115718
ENSG00000135476.12,596.3159499,2.615771278,0.251525254,2.4600000000000002e-26,1.88e-24,ESPL1,2.615771278,ENSG00000135476
ENSG00000123473.16,630.499616,1.990711745,0.190626407,2.68e-26,2.0399999999999997e-24,STIL,1.990711745,ENSG00000123473
ENSG00000149923.14,5461.070952,1.491373606,0.141927976,3.04e-26,2.2999999999999997e-24,PPP4C,1.491373606,ENSG00000149923
ENSG00000167535.8,1810.325349,1.666450218,0.159655699,3.28e-26,2.47e-24,CACNB3,1.666450218,ENSG00000167535
ENSG00000086548.9,5431.254458,5.41418003,0.524531017,3.42e-26,2.5699999999999997e-24,CEACAM6,5.41418003,ENSG00000086548
ENSG00000123352.18,1909.52277,1.041162174,0.099225678,3.66e-26,2.74e-24,SPATS2,1.041162174,ENSG00000123352
ENSG00000213085.10,219.8885663,3.062881482,0.296155347,3.88e-26,2.9e-24,CFAP45,3.062881482,ENSG00000213085
ENSG00000156970.13,523.7769481,2.794120903,0.270552248,4.87e-26,3.61e-24,BUB1B,2.794120903,ENSG00000156970
ENSG00000143633.13,792.7087565,1.076772434,0.103006813,4.98e-26,3.68e-24,C1orf131,1.076772434,ENSG00000143633
ENSG00000024526.17,307.6380305,2.783184479,0.269432532,5.09e-26,3.75e-24,DEPDC1,2.783184479,ENSG00000024526
ENSG00000163808.17,402.9531233,2.383284018,0.230582372,5.24e-26,3.83e-24,KIF15,2.383284018,ENSG00000163808
ENSG00000163689.20,151.1375791,2.095795474,0.202373576,5.28e-26,3.85e-24,CFAP20DC,2.095795474,ENSG00000163689
ENSG00000051341.14,272.4090814,2.379901251,0.230355977,6.44e-26,4.68e-24,POLQ,2.379901251,ENSG00000051341
ENSG00000178999.13,389.3679802,3.079699588,0.299592296,7.37e-26,5.3199999999999996e-24,AURKB,3.079699588,ENSG00000178999
ENSG00000132646.11,4925.413447,1.448497794,0.138727014,7.810000000000001e-26,5.6199999999999995e-24,PCNA,1.448497794,ENSG00000132646
ENSG00000162063.13,1115.003452,1.928551905,0.186709281,8.57e-26,6.1599999999999995e-24,CCNF,1.928551905,ENSG00000162063
ENSG00000162814.11,220.6504377,2.241346536,0.217866816,9.24e-26,6.61e-24,SPATA17,2.241346536,ENSG00000162814
ENSG00000167900.12,1942.384474,2.653493558,0.257919614,9.38e-26,6.7e-24,TK1,2.653493558,ENSG00000167900
ENSG00000071553.18,13040.33401,1.323347953,0.126942595,9.920000000000001e-26,7.05e-24,ATP6AP1,1.323347953,ENSG00000071553
ENSG00000151725.12,950.3741905,2.363247934,0.230357194,1.17e-25,8.209999999999999e-24,CENPU,2.363247934,ENSG00000151725
ENSG00000100479.13,290.506277,1.814813698,0.176255388,1.23e-25,8.63e-24,POLE2,1.814813698,ENSG00000100479
ENSG00000105519.18,1150.089536,2.906072867,0.284272514,1.36e-25,9.459999999999999e-24,CAPS,2.906072867,ENSG00000105519
ENSG00000095380.11,2210.378305,1.4246763,0.137350638,1.4e-25,9.74e-24,NANS,1.4246763,ENSG00000095380
ENSG00000160325.15,2315.783755,1.764024736,0.171802399,1.44e-25,9.95e-24,CACFD1,1.764024736,ENSG00000160325
ENSG00000111247.15,443.5665385,2.257581583,0.220397486,1.46e-25,1.0099999999999999e-23,RAD51AP1,2.257581583,ENSG00000111247
ENSG00000278828.1,544.6791988,4.71680724,0.463507769,1.62e-25,1.1099999999999999e-23,H3C10,4.71680724,ENSG00000278828
ENSG00000138092.11,368.8520098,1.120499327,0.108410068,1.73e-25,1.1799999999999999e-23,CENPO,1.120499327,ENSG00000138092
ENSG00000112742.10,511.7593841,2.657624892,0.26042299,1.7499999999999999e-25,1.19e-23,TTK,2.657624892,ENSG00000112742
ENSG00000144136.11,3555.576669,1.173045934,0.113297719,1.79e-25,1.2199999999999999e-23,SLC20A1,1.173045934,ENSG00000144136
ENSG00000160957.14,703.2915685,2.491291479,0.244017285,1.85e-25,1.26e-23,RECQL4,2.491291479,ENSG00000160957
